event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Nassourdine Imavov,Israel Adesanya,win,"KO/TKO

      

        Punch",2,0:30
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Michael Page,Shara Magomedov,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Sergei Pavlovich,Jairzinho Rozenstruik,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Vinicius Oliveira,Said Nurmagomedov,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Fares Ziam,Mike Davis,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Muhammad Naimov,Kaan Ofli,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Shamil Gaziev,Thomas Petersen,win,"KO/TKO

      

        Punch",1,3:12
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Terrance McKinney,Damir Hadzovic,win,"KO/TKO

      

        Punches",1,2:01
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Jasmine Jasudavicius,Mayra Bueno Silva,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Bogdan Grad,Lucas Alexander,win,"KO/TKO

      

        Punches",2,4:22
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Hamdy Abdelwahab,Jamal Pogues,win,S-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Mackenzie Dern,Amanda Ribas,win,"SUB

      

        Armbar",3,4:56
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Santiago Ponzinibbio,Carlston Harris,win,"KO/TKO

      

        Punches",3,3:13
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Cesar Almeida,Abdul Razak Alhassan,win,"KO/TKO

      

        Punch",1,4:16
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Roman Kopylov,Chris Curtis,win,"KO/TKO

      

        Kick",3,4:59
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Christian Rodriguez,Austin Bashi,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Punahele Soriano,Uros Medic,win,"KO/TKO

      

        Punch",1,0:31
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Felipe Bunes,Jose Johnson,win,"SUB

      

        Armbar",1,2:04
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Marco Tulio,Ihor Potieria,win,"KO/TKO

      

        Punches",1,3:04
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Thiago Moises,Trey Ogden,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Jacobe Smith,Preston Parsons,win,"KO/TKO

      

        Punch",1,1:13
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Ernesta Kareckaite,Nicolle Caliari,win,S-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Bruno Lopes,Magomed Gadzhiyasulov,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Fatima Kline,Viktoriia Dudakova,win,"KO/TKO

      

        Elbows",2,4:27
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Nurullo Aliev,Joe Solecki,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Islam Makhachev,Renato Moicano,win,"SUB

      

        D'Arce Choke",1,4:05
UFC 311: Makhachev vs. Moicano,2025-01-18,Merab Dvalishvili,Umar Nurmagomedov,win,U-DEC,5,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Jiri Prochazka,Jamahal Hill,win,"KO/TKO

      

        Punches",3,3:01
UFC 311: Makhachev vs. Moicano,2025-01-18,Jailton Almeida,Serghei Spivac,win,"KO/TKO

      

        Punches",1,4:53
UFC 311: Makhachev vs. Moicano,2025-01-18,Reinier de Ridder,Kevin Holland,win,"SUB

      

        Rear Naked Choke",1,3:31
UFC 311: Makhachev vs. Moicano,2025-01-18,Raoni Barcelos,Payton Talbott,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Azamat Bekoev,Zachary Reese,win,"KO/TKO

      

        Punches",1,3:04
UFC 311: Makhachev vs. Moicano,2025-01-18,Bogdan Guskov,Billy Elekana,win,"SUB

      

        Guillotine Choke",2,3:33
UFC 311: Makhachev vs. Moicano,2025-01-18,Grant Dawson,Diego Ferreira,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Ailin Perez,Karol Rosa,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Muin Gafurov,Rinya Nakamura,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Benardo Sopaj,Ricky Turcios,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Tagir Ulanbekov,Clayton Carpenter,win,U-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Alexandre Pantoja,Kai Asakura,win,"SUB

      

        Rear Naked Choke",2,2:05
UFC 310: Pantoja vs. Asakura,2024-12-07,Shavkat Rakhmonov,Ian Machado Garry,win,U-DEC,5,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Ciryl Gane,Alexander Volkov,win,S-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Bryce Mitchell,Kron Gracie,win,"KO/TKO

      

        Elbows",3,0:39
UFC 310: Pantoja vs. Asakura,2024-12-07,Dooho Choi,Nate Landwehr,win,"KO/TKO

      

        Elbows",3,3:21
UFC 310: Pantoja vs. Asakura,2024-12-07,Dominick Reyes,Anthony Smith,win,"KO/TKO

      

        Punches",2,4:46
UFC 310: Pantoja vs. Asakura,2024-12-07,Vicente Luque,Themba Gorimbo,win,"SUB

      

        Anaconda Choke",1,0:52
UFC 310: Pantoja vs. Asakura,2024-12-07,Movsar Evloev,Aljamain Sterling,win,U-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Bryan Battle,Randy Brown,win,S-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Eryk Anders,Chris Weidman,win,"KO/TKO

      

        Punches",2,4:51
UFC 310: Pantoja vs. Asakura,2024-12-07,Joshua Van,Cody Durden,win,U-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Michael Chiesa,Max Griffin,win,"SUB

      

        Rear Naked Choke",3,1:56
UFC 310: Pantoja vs. Asakura,2024-12-07,Chase Hooper,Clay Guida,win,"SUB

      

        Armbar",1,3:41
UFC 310: Pantoja vs. Asakura,2024-12-07,Kennedy Nzechukwu,Lukasz Brzeski,win,"KO/TKO

      

        Punch",1,4:51
UFC Fight Night: Covington vs. Buckley,2024-12-14,Joaquin Buckley,Colby Covington,win,KO/TKO,3,4:42
UFC Fight Night: Covington vs. Buckley,2024-12-14,Cub Swanson,Billy Quarantillo,win,"KO/TKO

      

        Punch",3,1:36
UFC Fight Night: Covington vs. Buckley,2024-12-14,Manel Kape,Bruno Silva,win,"KO/TKO

      

        Punches",3,1:57
UFC Fight Night: Covington vs. Buckley,2024-12-14,Dustin Jacoby,Vitor Petrino,win,"KO/TKO

      

        Punch",3,3:44
UFC Fight Night: Covington vs. Buckley,2024-12-14,Daniel Marcos,Adrian Yanez,win,S-DEC,3,5:00
UFC Fight Night: Covington vs. Buckley,2024-12-14,Navajo Stirling,Tuco Tokkos,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Buckley,2024-12-14,Michael Johnson,Ottman Azaitar,win,"KO/TKO

      

        Punch",2,2:03
UFC Fight Night: Covington vs. Buckley,2024-12-14,Joel Alvarez,Drakkar Klose,win,"KO/TKO

      

        Knee",1,2:48
UFC Fight Night: Covington vs. Buckley,2024-12-14,Sean Woodson,Fernando Padilla,win,"KO/TKO

      

        Punches",1,4:58
UFC Fight Night: Covington vs. Buckley,2024-12-14,Felipe Lima,Miles Johns,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Buckley,2024-12-14,Miranda Maverick,Jamey-Lyn Horth,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Buckley,2024-12-14,Davey Grant,Ramon Taveras,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Buckley,2024-12-14,Piera Rodriguez,Josefine Knutsson,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,2024-11-09,Carlos Prates,Neil Magny,win,"KO/TKO

      

        Punch",1,4:50
UFC Fight Night: Magny vs. Prates,2024-11-09,Reinier de Ridder,Gerald Meerschaert,win,"SUB

      

        Arm Triangle",3,1:44
UFC Fight Night: Magny vs. Prates,2024-11-09,Gaston Bolanos,Cortavious Romious,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,2024-11-09,Gillian Robertson,Luana Pinheiro,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,2024-11-09,Mansur Abdul-Malik,Dusko Todorovic,win,"KO/TKO

      

        Punches",1,2:44
UFC Fight Night: Magny vs. Prates,2024-11-09,Denise Gomes,Karolina Kowalkiewicz,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,2024-11-09,Elizeu Zaleski dos Santos,Zachary Scroggin,win,"KO/TKO

      

        Punches",1,1:15
UFC Fight Night: Magny vs. Prates,2024-11-09,Charles Radtke,Matthew Semelsberger,win,"KO/TKO

      

        Punches",1,0:51
UFC Fight Night: Magny vs. Prates,2024-11-09,Da'Mon Blackshear,Cody Stamann,win,"SUB

      

        Rear Naked Choke",1,4:19
UFC Fight Night: Magny vs. Prates,2024-11-09,Tresean Gore,Antonio Trocoli,win,"SUB

      

        Guillotine Choke",1,1:23
UFC Fight Night: Magny vs. Prates,2024-11-09,Melissa Mullins,Klaudia Sygula,win,"KO/TKO

      

        Punches",2,1:20
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Petr Yan,Deiveson Figueiredo,win,U-DEC,5,5:00
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Yan Xiaonan,Tabatha Ricci,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Muslim Salikhov,Song Kenan,win,"KO/TKO

      

        Kick",1,3:49
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Gabriella Fernandes,Wang Cong,win,"SUB

      

        Rear Naked Choke",2,3:49
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Carlos Ulberg,Volkan Oezdemir,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Zhang Mingyang,Ozzy Diaz,win,"KO/TKO

      

        Elbow",1,2:25
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,SuYoung You,Baergeng Jieleyisi,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,DongHun Choi,Kiru Sahota,win,"KO/TKO

      

        Punch",1,2:36
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Shi Ming,Feng Xiaocan,win,"KO/TKO

      

        Kick",3,0:46
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Carlos Hernandez,Nyamjargal Tumendemberel,win,S-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Lone'er Kavanagh,Jose Ochoa,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Xiao Long,Quang Le,win,"KO/TKO

      

        Punch",3,1:28
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Nikolas Motta,Maheshate,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,2024-10-26,Ilia Topuria,Max Holloway,win,"KO/TKO

      

        Punch",3,1:34
UFC 308: Topuria vs. Holloway,2024-10-26,Khamzat Chimaev,Robert Whittaker,win,"SUB

      

        Rear Naked Choke",1,3:34
UFC 308: Topuria vs. Holloway,2024-10-26,Magomed Ankalaev,Aleksandar Rakic,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,2024-10-26,Lerone Murphy,Dan Ige,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,2024-10-26,Shara Magomedov,Armen Petrosyan,win,"KO/TKO

      

        Spinning Back Fist",2,4:52
UFC 308: Topuria vs. Holloway,2024-10-26,Ibo Aslan,Rafael Cerqueira,win,"KO/TKO

      

        Punches",1,0:51
UFC 308: Topuria vs. Holloway,2024-10-26,Geoff Neal,Rafael Dos Anjos,win,KO/TKO,1,1:30
UFC 308: Topuria vs. Holloway,2024-10-26,Mateusz Rebecki,Myktybek Orolbai,win,S-DEC,3,5:00
UFC 308: Topuria vs. Holloway,2024-10-26,Abus Magomedov,Brunno Ferreira,win,"SUB

      

        Arm Triangle",3,3:14
UFC 308: Topuria vs. Holloway,2024-10-26,Kennedy Nzechukwu,Chris Barnett,win,"KO/TKO

      

        Knee",1,4:27
UFC 308: Topuria vs. Holloway,2024-10-26,Farid Basharat,Victor Hugo,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,2024-10-26,Ismail Naurdiev,Bruno Silva,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,2024-10-26,Rinat Fakhretdinov,Carlos Leal,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Jon Jones,Stipe Miocic,win,"KO/TKO

      

        Spinning Back Kick",3,4:29
UFC 309: Jones vs. Miocic,2024-11-16,Charles Oliveira,Michael Chandler,win,U-DEC,5,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Bo Nickal,Paul Craig,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Viviane Araujo,Karine Silva,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Mauricio Ruffy,James Llontop,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Marcus McGhee,Jonathan Martinez,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Jim Miller,Damon Jackson,win,"SUB

      

        Guillotine Choke",1,2:44
UFC 309: Jones vs. Miocic,2024-11-16,David Onama,Roberto Romero,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Marcin Tybura,Jhonata Diniz,win,KO/TKO,2,5:00
UFC 309: Jones vs. Miocic,2024-11-16,Ramiz Brahimaj,Mickey Gall,win,"KO/TKO

      

        Punch",1,2:55
UFC 309: Jones vs. Miocic,2024-11-16,Oban Elliott,Bassil Hafez,win,"KO/TKO

      

        Punch",3,0:40
UFC 309: Jones vs. Miocic,2024-11-16,Eduarda Moura,Veronica Hardy,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Brandon Moreno,Amir Albazi,win,U-DEC,5,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Erin Blanchfield,Rose Namajunas,win,U-DEC,5,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Brendson Ribeiro,Caio Machado,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Jasmine Jasudavicius,Ariane da Silva,win,"SUB

      

        D'Arce Choke",3,2:28
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Dustin Stoltzfus,Marc-Andre Barriault,win,"KO/TKO

      

        Punch",1,4:28
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Mike Malott,Trevin Giles,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Aiemann Zahabi,Pedro Munhoz,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Charles Jourdain,Victor Henry,win,"SUB

      

        Guillotine Choke",2,3:43
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Youssef Zalal,Jack Shore,win,"SUB

      

        Arm Triangle",2,0:59
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Alexandr Romanov,Rodrigo Nascimento,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Serhiy Sidey,Garrett Armfield,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Cody Gibson,Chad Anheliger,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Jamey-Lyn Horth,Ivana Petrovic,win,S-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Anthony Hernandez,Michel Pereira,win,"KO/TKO

      

        Elbows",5,2:22
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Rob Font,Kyler Phillips,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Charles Johnson,Sumudaerji,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Cameron Smotherman,Jake Hadley,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Darren Elkins,Daniel Pineda,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Asu Almabayev,Matheus Nicolau,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Jean Matsumoto,Brad Katona,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Joselyne Edwards,Tamires Vidal,win,"SUB

      

        Rear Naked Choke",3,4:33
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Elise Reed,Jessica Penne,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Melissa Martinez,Alice Ardelean,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Austen Lane,Robelis Despaigne,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Renato Moicano,Benoit Saint Denis,win,KO/TKO,2,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Nassourdine Imavov,Brendan Allen,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,William Gomis,Joanderson Brito,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Bryan Battle,Kevin Jousset,win,"KO/TKO

      

        Punches",2,3:47
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Morgan Charriere,Gabriel Miranda,win,"KO/TKO

      

        Punch",2,0:27
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Fares Ziam,Matt Frevola,win,"KO/TKO

      

        Knee",3,2:59
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Ion Cutelaba,Ivan Erslan,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Oumar Sy,Da Woon Jung,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Ludovit Klein,Roosevelt Roberts,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Taylor Lapilus,Vince Morales,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Ailin Perez,Daria Zhelezniakova,win,"SUB

      

        Arm Triangle",1,3:52
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Daniel Barez,Victor Altamirano,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Jacqueline Cavalcanti,Nora Cornolle,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Chris Duncan,Bolaji Oki,win,"SUB

      

        Guillotine Choke",1,3:34
UFC Fight Night: Royval vs. Taira,2024-10-12,Brandon Royval,Tatsuro Taira,win,S-DEC,5,5:00
UFC Fight Night: Royval vs. Taira,2024-10-12,JunYong Park,Brad Tavares,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,2024-10-12,Chidi Njokuani,Jared Gooden,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,2024-10-12,Grant Dawson,Rafa Garcia,win,"KO/TKO

      

        Punches",2,1:42
UFC Fight Night: Royval vs. Taira,2024-10-12,Daniel Rodriguez,Alex Morono,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,2024-10-12,Ramazan Temirov,CJ Vergara,win,"KO/TKO

      

        Punch",1,2:50
UFC Fight Night: Royval vs. Taira,2024-10-12,Pat Sabatini,Jonathan Pearce,win,"SUB

      

        Rear Naked Choke",1,4:06
UFC Fight Night: Royval vs. Taira,2024-10-12,Themba Gorimbo,Niko Price,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,2024-10-12,Junior Tafa,Sean Sharaf,win,"KO/TKO

      

        Punches",2,2:15
UFC Fight Night: Royval vs. Taira,2024-10-12,Julia Polastri,Cory McKenna,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,2024-10-12,Cody Haddon,Dan Argueta,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,2024-10-12,Clayton Carpenter,Lucas Rocha,win,"SUB

      

        Rear Naked Choke",2,2:12
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Alex Pereira,Khalil Rountree Jr.,win,"KO/TKO

      

        Punch",4,4:32
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Julianna Pena,Raquel Pennington,win,S-DEC,5,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Mario Bautista,Jose Aldo,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Roman Dolidze,Kevin Holland,win,KO/TKO,1,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Kayla Harrison,Ketlen Vieira,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Joaquin Buckley,Stephen Thompson,win,"KO/TKO

      

        Punch",3,2:17
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Iasmin Lucindo,Marina Rodriguez,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Alexander Hernandez,Austin Hubbard,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Cesar Almeida,Ihor Potieria,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Ryan Spann,Ovince Saint Preux,win,"SUB

      

        Guillotine Choke",1,1:35
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Tecia Pennington,Carla Esparza,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Court McGee,Tim Means,win,"SUB

      

        Rear Naked Choke",1,3:19
UFC 306: Riyadh Season Noche UFC,2024-09-14,Merab Dvalishvili,Sean O'Malley,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,2024-09-14,Valentina Shevchenko,Alexa Grasso,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,2024-09-14,Diego Lopes,Brian Ortega,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,2024-09-14,Esteban Ribovics,Daniel Zellhuber,win,S-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,2024-09-14,Ronaldo Rodriguez,Ode Osbourne,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,2024-09-14,Norma Dumont,Irene Aldana,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,2024-09-14,Ignacio Bahamondes,Manuel Torres,win,"KO/TKO

      

        Punch",1,4:02
UFC 306: Riyadh Season Noche UFC,2024-09-14,Ketlen Souza,Yazmin Jauregui,win,"SUB

      

        Rear Naked Choke",1,3:02
UFC 306: Riyadh Season Noche UFC,2024-09-14,Joshua Van,Edgar Chairez,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,2024-09-14,Raul Rosas Jr.,Aoriqileng,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,2024-09-07,Sean Brady,Gilbert Burns,win,U-DEC,5,5:00
UFC Fight Night: Burns vs. Brady,2024-09-07,Natalia Silva,Jessica Andrade,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,2024-09-07,Steve Garcia,Kyle Nelson,win,"KO/TKO

      

        Elbows",1,3:59
UFC Fight Night: Burns vs. Brady,2024-09-07,Cody Durden,Matt Schnell,win,"SUB

      

        Guillotine Choke",2,0:29
UFC Fight Night: Burns vs. Brady,2024-09-07,Yanal Ashmouz,Trevor Peek,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,2024-09-07,Chris Padilla,Rongzhu,win,KO/TKO,2,4:14
UFC Fight Night: Burns vs. Brady,2024-09-07,Isaac Dulgarian,Brendon Marotte,win,"SUB

      

        Arm Triangle",2,4:19
UFC Fight Night: Burns vs. Brady,2024-09-07,Andre Lima,Felipe dos Santos,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,2024-09-07,Gabriel Santos,Yizha,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,2024-09-07,Jaqueline Amorim,Vanessa Demopoulos,win,"SUB

      

        Armbar",1,3:28
UFC Fight Night: Burns vs. Brady,2024-09-07,Andre Petroski,Dylan Budka,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,2024-09-07,Nathan Fletcher,Zygimantas Ramaska,win,"SUB

      

        Arm Triangle",2,1:14
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Caio Borralho,Jared Cannonier,win,U-DEC,5,5:00
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Tabatha Ricci,Angela Hill,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Ryan Loder,Robert Valentin,win,"KO/TKO

      

        Elbows",2,1:49
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Mairon Santos,Kaan Ofli,win,"KO/TKO

      

        Punch",2,1:30
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Michael Morales,Neil Magny,win,"KO/TKO

      

        Punches",1,4:39
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Gerald Meerschaert,Edmen Shahbazyan,win,"SUB

      

        Arm Triangle",2,4:12
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Francis Marshall,Dennis Buzukja,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Zachary Reese,Jose Daniel Medina,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Viacheslav Borshchev,James Llontop,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Jacqueline Cavalcanti,Josiane Nunes,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Wang Cong,Victoria Leonardo,win,"KO/TKO

      

        Punches",1,1:02
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Dricus Du Plessis,Israel Adesanya,win,"SUB

      

        Rear Naked Choke",4,3:38
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Kai Kara-France,Steve Erceg,win,"KO/TKO

      

        Punch",1,4:04
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Dan Hooker,Mateusz Gamrot,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Jairzinho Rozenstruik,Tai Tuivasa,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Carlos Prates,Li Jingliang,win,"KO/TKO

      

        Punch",2,4:02
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Valter Walker,Junior Tafa,win,"SUB

      

        Heel Hook",1,4:56
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Ricardo Ramos,Josh Culibao,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Casey O'Neill,Luana Santos,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Jack Jenkins,Herbert Burns,win,"KO/TKO

      

        Punches",3,0:48
