event,event_date,fighter_1,fighter_2,result,f1_kd,f1_sig_str_attempted,f1_sig_str_landed,f1_sub_att,f1_td_attempted,f1_td_landed,f1_total_str_attempted,f1_total_str_landed,f2_kd,f2_sig_str_attempted,f2_sig_str_landed,f2_sub_att,f2_td_attempted,f2_td_landed,f2_total_str_attempted,f2_total_str_landed,method,round,time
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Gabriel Bonfim,Randy Brown,win,1,64,35,0,0,0,64,35,0,87,33,0,0,0,87,33,"KO/TKO

      

        Knee",2,1:40
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Joseph Morales,Matt Schnell,win,0,11,4,0,1,1,12,5,0,11,5,1,0,0,18,12,"SUB

      

        Guillotine Choke",1,2:54
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Uros Medic,Muslim Salikhov,win,0,5,2,0,0,0,5,2,1,13,8,0,0,0,14,9,"KO/TKO

      

        Punch",1,1:03
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Chris Padilla,Ismael Bonfim,win,0,109,64,0,0,0,134,88,0,84,42,0,3,1,89,47,"KO/TKO

      

        Punches",2,4:30
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Christian Leroy Duncan,Marco Tulio,win,1,46,23,0,1,1,66,40,0,57,27,0,5,2,75,42,"KO/TKO

      

        Punch",2,3:20
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Jamall Emmers,Hyder Amil,win,0,125,47,0,1,0,164,80,0,101,50,1,8,7,141,83,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Raoni Barcelos,Ricky Simon,win,0,181,67,0,6,0,191,77,0,187,82,0,8,1,194,86,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Jacqueline Cavalcanti,Mayra Bueno Silva,win,0,97,39,0,4,0,107,46,0,164,80,0,0,0,172,87,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Josh Hokit,Max Gimenis,win,2,17,9,0,0,0,19,11,0,7,3,0,0,0,7,3,"KO/TKO

      

        Punches",1,0:56
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Denise Gomes,Tecia Pennington,win,0,125,58,0,2,1,144,73,0,138,53,0,10,3,169,75,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Daniel Marcos,Miles Johns,win,0,54,28,0,1,0,61,33,0,47,27,1,4,3,69,42,"SUB

      

        Rear Naked Choke",2,4:23
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Zach Reese,Jackson McVey,win,0,42,32,1,3,3,97,81,0,73,56,0,0,0,86,68,"SUB

      

        Rear Naked Choke",2,1:38
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Islam Makhachev,Jack Della Maddalena,win,0,61,18,0,1,0,74,30,0,57,30,0,4,4,188,140,U-DEC,5,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Valentina Shevchenko,Zhang Weili,win,0,68,41,0,6,5,186,137,0,98,32,0,1,0,161,80,U-DEC,5,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Michael Morales,Sean Brady,win,0,22,8,0,1,0,22,8,1,52,24,0,0,0,52,24,"KO/TKO

      

        Punches",1,3:27
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Carlos Prates,Leon Edwards,win,0,17,12,0,3,2,30,25,1,32,21,0,0,0,35,24,"KO/TKO

      

        Punch",2,1:28
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Benoit Saint Denis,Beneil Dariush,win,0,5,3,0,0,0,5,3,1,5,3,0,0,0,5,3,"KO/TKO

      

        Punch",1,0:16
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Bo Nickal,Rodolfo Vieira,win,1,121,77,1,3,2,143,94,0,64,24,0,6,0,71,31,"KO/TKO

      

        Kick",3,2:24
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Gregory Rodrigues,Roman Kopylov,win,0,105,52,0,2,2,109,54,0,173,90,1,4,0,174,91,U-DEC,3,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Erin Blanchfield,Tracy Cortez,win,0,116,52,1,3,2,134,65,0,104,46,0,3,1,108,50,"SUB

      

        Rear Naked Choke",2,4:44
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Ethyn Ewing,Malcolm Wellmaker,win,0,146,77,0,3,0,151,82,0,163,85,0,5,3,179,99,U-DEC,3,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Kyle Daukaus,Gerald Meerschaert,win,1,11,8,1,0,0,11,8,0,2,0,0,0,0,2,0,"SUB

      

        D'Arce Choke",1,0:50
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Pat Sabatini,Chepe Mariscal,win,0,29,12,0,12,7,61,40,0,19,7,0,0,0,71,48,U-DEC,3,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Fatima Kline,Angela Hill,win,0,120,56,0,0,0,137,65,0,223,115,0,7,4,268,152,U-DEC,3,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Baisangur Susurkaev,Eric McConico,win,1,88,53,0,7,2,143,105,0,107,53,0,0,0,150,90,"KO/TKO

      

        Punch",3,1:38
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Matheus Camilo,Viacheslav Borshchev,win,0,188,65,0,0,0,201,78,0,93,39,0,10,5,104,48,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Arman Tsarukyan,Dan Hooker,win,0,60,42,1,4,2,89,69,0,33,10,2,0,0,41,17,"SUB

      

        Arm Triangle",2,3:34
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Ian Machado Garry,Belal Muhammad,win,0,139,56,0,7,0,197,97,0,141,72,0,2,0,167,96,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Volkan Oezdemir,Alonzo Menifield,win,1,35,13,0,0,0,37,14,0,7,2,0,0,0,7,2,"KO/TKO

      

        Punches",1,1:27
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Myktybek Orolbai,Jack Hermansson,win,0,38,19,0,0,0,38,19,1,33,15,0,0,0,33,15,"KO/TKO

      

        Punch",1,2:46
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Waldo Cortes Acosta,Shamil Gaziev,win,2,21,10,0,0,0,26,15,0,15,6,0,0,0,15,6,"KO/TKO

      

        Punch",1,1:22
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Kyoji Horiguchi,Tagir Ulanbekov,win,0,27,6,1,2,1,32,10,2,77,49,1,1,0,157,120,"SUB

      

        Rear Naked Choke",3,2:18
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Luke Riley,Bogdan Grad,win,0,13,7,0,7,4,24,17,1,23,14,0,0,0,32,20,"KO/TKO

      

        Punches",2,0:30
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,win,0,63,26,0,2,0,140,87,0,34,20,0,10,4,88,65,S-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Asu Almabayev,Alex Perez,win,0,98,40,0,5,3,143,84,0,90,36,1,5,2,126,68,"SUB

      

        Guillotine Choke",3,0:22
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Abdul Rakhman Yakhyaev,Rafael Cerqueira,win,1,10,6,1,1,1,16,11,0,1,0,0,0,0,1,0,"SUB

      

        Rear Naked Choke",1,0:33
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Aleksandre Topuria,Bekzat Almakhan,win,0,119,39,0,1,0,122,42,0,81,47,0,7,2,89,55,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Ismail Naurdiev,Ryan Loder,win,1,6,3,0,0,0,6,3,0,4,1,0,0,0,4,1,"KO/TKO

      

        Punch",1,1:26
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Nurullo Aliev,Shem Rock,win,0,117,51,1,5,1,133,63,0,104,44,0,9,1,141,77,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Denzel Freeman,Marek Bujlo,win,0,80,31,0,0,0,80,31,0,79,49,0,0,0,79,49,U-DEC,3,5:00
UFC Fight Night: Garcia vs. Onama,2025-11-01,Steve Garcia,David Onama,win,1,62,33,0,0,0,72,43,0,16,2,0,0,0,16,2,"KO/TKO

      

        Punches",1,3:34
UFC Fight Night: Garcia vs. Onama,2025-11-01,Waldo Cortes Acosta,Ante Delija,win,1,17,12,0,0,0,24,18,0,36,16,0,1,0,38,18,"KO/TKO

      

        Punch",1,3:59
UFC Fight Night: Garcia vs. Onama,2025-11-01,Jeremiah Wells,Themba Gorimbo,win,0,53,32,3,5,3,84,59,0,33,18,0,9,6,102,80,U-DEC,3,5:00
UFC Fight Night: Garcia vs. Onama,2025-11-01,Yadier del Valle,Isaac Dulgarian,win,0,1,0,0,1,0,6,3,0,1,1,3,0,0,43,28,"SUB

      

        Rear Naked Choke",1,3:41
UFC Fight Night: Garcia vs. Onama,2025-11-01,Charles Radtke,Daniel Frunza,win,0,38,31,2,5,3,214,163,0,24,6,0,0,0,102,68,"SUB

      

        Rear Naked Choke",3,4:29
UFC Fight Night: Garcia vs. Onama,2025-11-01,Allan Nascimento,Cody Durden,win,0,115,52,1,1,0,115,52,0,128,57,0,3,1,128,57,"SUB

      

        Anaconda Choke",2,3:13
UFC Fight Night: Garcia vs. Onama,2025-11-01,Billy Elekana,Kevin Christian,win,1,23,17,1,0,0,25,19,0,17,14,0,0,0,17,14,"SUB

      

        Rear Naked Choke",1,3:33
UFC Fight Night: Garcia vs. Onama,2025-11-01,Timmy Cuamba,ChangHo Lee,win,0,32,23,0,4,2,48,39,0,26,15,0,8,3,141,88,U-DEC,3,5:00
UFC Fight Night: Garcia vs. Onama,2025-11-01,Donte Johnson,Sedriques Dumas,win,0,18,10,1,3,3,27,18,0,16,5,0,5,1,23,12,"SUB

      

        Guillotine Choke",2,1:25
UFC Fight Night: Garcia vs. Onama,2025-11-01,Norma Dumont,Ketlen Vieira,win,0,83,25,1,4,2,121,58,0,101,62,0,0,0,127,87,S-DEC,3,5:00
UFC Fight Night: Garcia vs. Onama,2025-11-01,Alice Ardelean,Montserrat Conejo Ruiz,win,0,280,138,0,3,1,288,146,0,282,85,0,6,1,291,91,U-DEC,3,5:00
UFC Fight Night: Garcia vs. Onama,2025-11-01,Seokhyeon Ko,Phil Rowe,win,0,7,4,0,0,0,15,11,0,42,36,0,4,4,157,124,U-DEC,3,5:00
UFC Fight Night: Garcia vs. Onama,2025-11-01,Talita Alencar,Ariane Carnelossi,win,0,100,60,2,8,5,122,79,0,76,25,0,1,0,106,50,"SUB

      

        Rear Naked Choke",3,4:36
UFC 321: Aspinall vs. Gane,2025-10-25,Tom Aspinall,Ciryl Gane,"nc


nc",0,39,27,0,1,0,39,27,0,40,30,0,0,0,40,30,CNC,1,4:35
UFC 321: Aspinall vs. Gane,2025-10-25,Mackenzie Dern,Virna Jandiroba,win,0,217,106,0,17,9,331,208,0,231,118,0,8,2,372,249,U-DEC,5,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Umar Nurmagomedov,Mario Bautista,win,0,54,32,0,14,11,105,81,1,54,20,1,1,0,67,33,U-DEC,3,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Alexander Volkov,Jailton Almeida,win,0,27,24,0,0,0,130,123,0,10,9,0,9,7,33,27,S-DEC,3,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Azamat Murzakanov,Aleksandar Rakic,win,0,14,9,0,2,0,18,13,1,8,3,0,0,0,9,4,"KO/TKO

      

        Punch",1,3:11
UFC 321: Aspinall vs. Gane,2025-10-25,Quillan Salkilld,Nasrat Haqparast,win,0,13,10,0,0,0,13,10,1,36,14,0,4,0,36,14,"KO/TKO

      

        Kick",1,2:30
UFC 321: Aspinall vs. Gane,2025-10-25,Ikram Aliskerov,JunYong Park,win,0,134,91,0,7,5,174,126,0,132,78,0,0,0,151,91,U-DEC,3,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Ludovit Klein,Mateusz Rebecki,win,0,140,82,0,0,0,149,90,0,159,72,0,12,3,208,113,M-DEC,3,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Valter Walker,Louie Sutherland,win,0,5,5,1,1,1,7,7,0,5,3,0,0,0,5,3,"SUB

      

        Heel Hook",1,1:24
UFC 321: Aspinall vs. Gane,2025-10-25,Nathaniel Wood,Jose Delgado,win,1,176,99,0,3,2,178,101,1,232,134,0,2,0,239,141,U-DEC,3,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Hamdy Abdelwahab,Chris Barnett,win,0,139,99,0,14,9,221,170,0,35,18,0,0,0,46,28,U-DEC,3,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Mitch Raposo,Azat Maksum,win,0,88,19,0,19,7,101,30,0,66,30,0,0,0,92,53,U-DEC,3,5:00
UFC 321: Aspinall vs. Gane,2025-10-25,Mizuki,Jaqueline Amorim,win,0,62,26,1,6,2,88,48,1,103,62,0,2,2,203,150,U-DEC,3,5:00
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Brendan Allen,Reinier de Ridder,win,0,13,9,1,7,3,72,61,0,37,22,1,1,1,134,97,KO/TKO,4,5:00
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Mike Malott,Kevin Holland,win,0,137,52,0,1,1,162,76,0,95,49,1,4,1,99,50,U-DEC,3,5:00
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Aiemann Zahabi,Marlon Vera,win,1,152,56,0,0,0,153,56,0,152,81,0,0,0,152,81,S-DEC,3,5:00
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Manon Fiorot,Jasmine Jasudavicius,win,0,27,16,0,0,0,28,17,0,14,2,0,0,0,14,2,"KO/TKO

      

        Punches",1,1:14
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Charles Jourdain,Davey Grant,win,1,43,25,1,0,0,43,25,0,26,9,0,0,0,26,9,"SUB

      

        Guillotine Choke",1,3:05
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Kyle Nelson,Matt Frevola,win,1,135,63,0,5,2,170,92,0,136,43,0,3,2,155,60,U-DEC,3,5:00
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Drew Dober,Kyle Prepolec,win,0,164,51,0,3,0,164,51,0,161,83,0,1,0,163,85,"KO/TKO

      

        Punches",3,1:16
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Aoriqileng,Cody Gibson,win,0,3,3,0,0,0,3,3,1,8,5,0,0,0,9,6,"KO/TKO

      

        Punch",1,0:21
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Bruno Silva,HyunSung Park,win,1,74,46,1,9,5,92,60,0,108,31,0,4,1,136,56,"SUB

      

        Rear Naked Choke",3,2:15
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Djorden Santos,Danny Barlow,win,0,171,93,0,0,0,186,106,0,216,99,0,1,0,232,109,U-DEC,3,5:00
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Stephanie Luciano,Ravena Oliveira,win,0,124,60,1,4,3,153,80,0,103,24,0,0,0,118,36,"SUB

      

        Rear Naked Choke",3,2:50
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Yousri Belgaroui,Azamat Bekoev,win,0,77,24,0,8,4,83,27,0,138,102,0,1,1,148,110,"KO/TKO

      

        Punches",3,0:55
UFC Fight Night: De Ridder vs. Allen,2025-10-18,Melissa Croden,Tainara Lisboa,win,1,175,99,0,3,2,230,148,0,92,42,0,8,2,115,63,"KO/TKO

      

        Punches",3,4:32
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Charles Oliveira,Mateusz Gamrot,win,0,33,11,1,1,1,40,18,0,42,18,0,1,1,43,18,"SUB

      

        Rear Naked Choke",2,2:48
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Deiveson Figueiredo,Montel Jackson,win,0,43,23,0,5,2,44,23,0,70,30,0,1,1,70,30,S-DEC,3,5:00
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Joel Alvarez,Vicente Luque,win,0,99,30,0,2,0,101,31,0,148,89,1,1,1,288,197,U-DEC,3,5:00
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Mario Pinto,Jhonata Diniz,win,0,5,1,0,0,0,9,4,0,33,29,2,4,3,102,87,"KO/TKO

      

        Punches",2,4:10
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Kaan Ofli,Ricardo Ramos,win,0,4,1,3,0,0,4,1,0,1,1,1,1,1,1,1,"SUB

      

        Rear Naked Choke",1,3:02
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Michael Aswell Jr.,Lucas Almeida,win,0,21,9,0,0,0,21,9,2,54,30,0,0,0,59,34,"KO/TKO

      

        Punches",1,1:42
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Jafel Filho,Clayton Carpenter,win,0,13,5,1,1,1,38,28,0,21,7,0,0,0,27,12,"SUB

      

        Kimura",1,4:42
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Vitor Petrino,Thomas Petersen,win,2,54,31,0,6,1,61,33,0,35,16,0,8,0,62,41,"KO/TKO

      

        Punch",3,0:26
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Bia Mesquita,Irina Alekseeva,win,0,63,36,1,3,2,98,61,0,23,6,0,0,0,34,17,"SUB

      

        Rear Naked Choke",2,2:14
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Lucas Rocha,Stewart Nicoll,win,0,226,115,0,4,3,244,130,0,138,45,0,20,2,139,46,U-DEC,3,5:00
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Julia Polastri,Karolina Kowalkiewicz,win,0,253,137,0,0,0,261,142,0,192,72,0,4,1,196,75,"KO/TKO

      

        Punches",3,2:56
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,Luan Lacerda,Saimon Oliveira,win,0,39,24,1,4,3,85,60,0,34,21,0,2,1,52,33,"SUB

      

        Armbar",2,3:55
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Alex Pereira,Magomed Ankalaev,win,0,9,4,0,1,0,9,4,0,45,28,0,0,0,45,28,"KO/TKO

      

        Elbows",1,1:20
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Merab Dvalishvili,Cory Sandhagen,win,0,265,114,0,37,20,399,243,0,184,80,0,0,0,257,149,U-DEC,5,5:00
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,win,1,138,71,0,0,0,138,71,0,158,66,0,0,0,158,66,"KO/TKO

      

        Punches",3,3:04
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Youssef Zalal,Josh Emmett,win,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,"SUB

      

        Armbar",1,1:38
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Joe Pyfer,Abus Magomedov,win,0,12,11,1,1,1,21,18,1,10,6,2,4,0,18,13,"SUB

      

        Rear Naked Choke",2,1:46
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Ateba Gautier,Tre'ston Vines,win,1,12,6,0,1,1,12,6,0,1,0,0,2,0,1,0,"KO/TKO

      

        Punches",1,1:41
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Daniel Santos,JooSang Yoo,win,1,62,27,0,2,1,63,28,0,55,31,0,0,0,75,51,"KO/TKO

      

        Punch",2,0:21
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Jakub Wiklacz,Patchy Mix,win,0,58,37,0,7,5,101,75,0,83,46,3,0,0,147,107,S-DEC,3,5:00
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Edmen Shahbazyan,Andre Muniz,win,1,50,25,0,0,0,51,26,0,38,15,0,3,1,40,17,"KO/TKO

      

        Elbows",1,4:58
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Punahele Soriano,Nikolay Veretennikov,win,0,54,39,1,11,4,200,163,0,12,9,2,1,0,37,34,U-DEC,3,5:00
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Yana Santos,Macy Chiasson,win,0,118,54,1,3,2,158,91,0,124,65,0,1,0,176,115,U-DEC,3,5:00
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Farid Basharat,Chris Gutierrez,win,0,86,31,0,1,1,119,61,0,110,41,0,2,2,126,56,U-DEC,3,5:00
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Ramiz Brahimaj,Austin Vanderford,win,0,35,21,2,1,0,61,46,0,16,5,0,6,3,24,13,"SUB

      

        Guillotine Choke",2,2:24
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,Veronica Hardy,Brogan Walker,win,1,75,39,1,0,0,94,53,0,60,22,0,4,3,70,30,U-DEC,3,5:00
UFC Fight Night: Lopes vs. Silva,2025-09-13,Diego Lopes,Jean Silva,win,1,135,74,0,4,3,154,86,0,91,43,0,0,0,91,43,"KO/TKO

      

        Punches",2,4:48
UFC Fight Night: Lopes vs. Silva,2025-09-13,David Martinez,Rob Font,win,0,158,49,0,5,0,158,49,0,155,62,0,2,0,210,115,U-DEC,3,5:00
UFC Fight Night: Lopes vs. Silva,2025-09-13,Rafa Garcia,Jared Gordon,win,1,162,91,2,3,2,179,107,0,186,65,0,3,1,201,80,"KO/TKO

      

        Elbows",3,2:27
UFC Fight Night: Lopes vs. Silva,2025-09-13,Kelvin Gastelum,Dustin Stoltzfus,win,1,117,57,0,0,0,118,58,0,146,64,0,6,1,151,69,U-DEC,3,5:00
UFC Fight Night: Lopes vs. Silva,2025-09-13,Alexander Hernandez,Diego Ferreira,win,1,75,30,0,0,0,75,30,0,98,23,0,0,0,98,23,"KO/TKO

      

        Punches",2,3:46
UFC Fight Night: Lopes vs. Silva,2025-09-13,Santiago Luna,Quang Le,win,2,40,15,0,1,0,42,17,0,24,12,0,1,0,25,13,"KO/TKO

      

        Punch",1,2:48
UFC Fight Night: Lopes vs. Silva,2025-09-13,Dusko Todorovic,Jose Daniel Medina,win,0,25,9,0,0,0,29,13,0,24,16,1,2,2,36,27,"SUB

      

        Rear Naked Choke",1,4:21
UFC Fight Night: Lopes vs. Silva,2025-09-13,Joaquim Silva,Claudio Puelles,win,0,63,21,0,16,4,102,58,1,66,25,1,0,0,136,95,S-DEC,3,5:00
UFC Fight Night: Lopes vs. Silva,2025-09-13,Tatiana Suarez,Amanda Lemos,win,0,39,20,0,12,3,91,70,0,33,23,1,0,0,49,39,U-DEC,3,5:00
UFC Fight Night: Lopes vs. Silva,2025-09-13,Jesus Aguilar,Luis Gurule,win,0,235,85,0,5,1,237,87,0,186,65,0,5,0,195,73,U-DEC,3,5:00
UFC Fight Night: Lopes vs. Silva,2025-09-13,Zach Reese,Sedriques Dumas,"nc


nc",0,7,2,0,0,0,7,2,0,10,3,0,0,0,10,3,CNC,1,0:51
UFC Fight Night: Lopes vs. Silva,2025-09-13,Alden Coria,Alessandro Costa,win,0,56,12,2,4,1,59,14,0,95,42,0,2,2,131,77,"KO/TKO

      

        Punches",3,0:47
UFC Fight Night: Lopes vs. Silva,2025-09-13,Montse Rendon,Alice Pereira,win,0,166,45,1,5,0,185,60,0,117,37,0,3,0,123,43,S-DEC,3,5:00
UFC Fight Night: Lopes vs. Silva,2025-09-13,Daniil Donchenko,Rodrigo Sezinando,win,0,36,10,0,4,1,36,10,1,68,39,0,3,1,71,42,"KO/TKO

      

        Punches",1,4:27
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Carlos Ulberg,Dominick Reyes,win,1,17,11,0,0,0,17,11,0,11,5,0,0,0,11,5,"KO/TKO

      

        Punches",1,4:27
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Jimmy Crute,Ivan Erslan,win,0,16,12,1,4,2,16,12,0,14,10,0,0,0,14,10,"SUB

      

        Rear Naked Choke",1,3:19
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Jack Jenkins,Ramon Taveras,win,0,109,65,1,6,3,123,73,0,113,43,0,4,0,142,68,U-DEC,3,5:00
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Neil Magny,Jake Matthews,win,0,44,18,3,1,0,54,28,0,57,31,1,5,3,103,73,"SUB

      

        D'Arce Choke",3,3:08
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Tom Nolan,Charlie Campbell,win,0,61,26,1,1,1,69,33,0,42,15,0,1,0,42,15,"SUB

      

        Rear Naked Choke",1,4:08
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Navajo Stirling,Rodolfo Bellato,win,0,158,81,0,4,1,193,101,0,89,43,0,6,2,111,62,U-DEC,3,5:00
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Cam Rowston,Andre Petroski,win,1,36,12,0,0,0,48,20,0,13,7,0,0,0,13,7,"KO/TKO

      

        Punches",1,2:41
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Jamie Mullarkey,Rolando Bedoya,win,0,89,43,0,17,3,94,47,0,116,46,1,0,0,129,55,U-DEC,3,5:00
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Colby Thicknesse,Josias Musasa,win,0,111,62,1,14,2,199,126,0,89,43,0,2,1,118,62,U-DEC,3,5:00
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Michelle Montague,Luana Carolina,win,0,88,41,0,7,5,164,99,0,82,48,1,0,0,115,75,U-DEC,3,5:00
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Brando Pericic,Elisha Ellison,win,0,49,29,0,0,0,50,30,0,9,3,0,2,0,9,3,"KO/TKO

      

        Punches",1,1:55
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,Alexia Thainara,Loma Lookboonmee,win,0,61,30,0,1,0,102,67,0,107,44,1,11,5,202,110,U-DEC,3,5:00
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Nassourdine Imavov,Caio Borralho,win,0,162,81,0,0,0,170,89,0,166,66,0,5,0,190,89,U-DEC,5,5:00
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Benoit Saint Denis,Mauricio Ruffy,win,0,38,17,1,10,3,61,37,0,17,5,0,0,0,18,6,"SUB

      

        Rear Naked Choke",2,2:56
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Modestas Bukauskas,Paul Craig,win,0,36,22,0,0,0,44,29,0,14,6,0,2,0,39,30,"KO/TKO

      

        Elbow",1,5:00
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Mason Jones,Bolaji Oki,win,1,99,38,0,1,0,101,40,1,136,57,1,2,2,147,67,"KO/TKO

      

        Elbows",2,3:18
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Axel Sola,Rhys McKee,win,1,105,45,0,4,1,114,52,0,135,33,0,0,0,156,48,"KO/TKO

      

        Punch",3,2:02
UFC Fight Night: Imavov vs. Borralho,2025-09-06,William Gomis,Robert Ruchala,win,0,114,49,0,2,2,132,66,0,96,34,0,6,2,116,54,U-DEC,3,5:00
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Oumar Sy,Brendson Ribeiro,win,0,43,17,0,4,2,49,21,0,14,5,0,0,0,22,11,"KO/TKO

      

        Punches",1,4:42
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Ante Delija,Marcin Tybura,win,0,9,4,0,0,0,15,8,1,28,13,0,0,0,30,15,"KO/TKO

      

        Punches",1,2:03
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Kaue Fernandes,Harry Hardwick,win,0,23,8,0,0,0,23,8,1,40,24,0,0,0,40,24,"KO/TKO

      

        Kick",1,3:21
